ASV	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	term	full.formula	null.formula
ASV20	129.81483544428974	0.3073740287241453	3.135731518431956	140.27188700585316	3.4701380599237417e-31	3.9559573883130654e-29	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV156	126.5741485486966	0.8190747455032121	3.136760184927016	111.984659806315	4.81770378642572e-25	2.7460911582626607e-23	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV206	82.92434103091651	-1.9589305951668847	3.1258103205831484	97.9933462399938	5.260357161509624e-22	1.998935721373657e-20	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV195	197.03746373691587	0.3105060118584484	3.1374779518859905	94.5792903967399	2.8997999576862625e-21	8.264429879405848e-20	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV96	120.33964225420873	0.2622172060851346	3.1331655821834112	85.2389894775817	3.0944866500424484e-19	7.055429562096783e-18	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV137	51.10338044842926	0.31857234915616717	3.133957994845311	84.58712992586715	4.2868483129223084e-19	8.145011794552386e-18	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV10	296.8919119811881	-0.8667120694774731	3.107905323089939	83.18882963304077	8.625319022648026e-19	1.4046948122598214e-17	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV16	1316.7746849412188	0.40489841968797124	3.115490722030488	48.89213095955711	2.4166216275669305e-11	3.443685819282876e-10	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV249	105.1063183810386	0.3095067348616516	3.1346815532617645	41.31221774424	1.0694633331270305e-9	1.3546535552942384e-8	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV169	62.78127061066914	-0.7226061933563802	3.130881634662913	40.48055485318122	1.6209111191200667e-9	1.8478386757968762e-8	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
